Enzyme ID,Name
PGI,Glucose-6-phosphate isomerase
PFK1,Phosphofructokinase-1 
PFK2,Phosphofructokinase-2
FBP1,Fructose-bisphosphatase-1
FBP2,Fructose-bisphosphatase-1
FBA1,Fructose-bisphosphate aldolase-1
FBA2,Fructose-bisphosphate aldolase-2
TPI,Triose-phosphate isomerase
GAPD,Glyceraldehyde-3-phosphate dehydrogenase
PGK,Phosphoglycerate kinase
PGMi,Phosphoglycerate mutase (cofactor independent)
PGMd,Phosphoglycerate mutase (cofactor dependent)
ENO,Enolase
PYK1,Pyruvate kinase-1
PYK2,Pyruvate kinase-2
PPS,Phosphoenolpyruvate synthase
LDH_D,D-lactate dehydrogenase